repo_url,commit_hash,model_file_path,serialization_format,,,
yoshitomo-matsubara/bert-large-uncased-mrpc,1d49bf3db26fde2037962627c35c922569f52cf4,yoshitomo-matsubara/bert-large-uncased-mrpc/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-large-uncased-mrpc,c94d09f7c97ebdc274ce3f5cd3790f7618591ec3,yoshitomo-matsubara/bert-large-uncased-mrpc/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-large-uncased-mnli,8b433fbbf794e442c213a872cb2c9886edfd9e01,yoshitomo-matsubara/bert-large-uncased-mnli/model.safetensors,safetensors,,,
yoshitomo-matsubara/bert-large-uncased-mnli,22de1d332d9f07cb1a1a4b0ae91a0ba6ce2fa4af,yoshitomo-matsubara/bert-large-uncased-mnli/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-large-uncased-mnli,50aa9890e9cb19b05a6ad6b1f6f1c50c30542601,yoshitomo-matsubara/bert-large-uncased-mnli/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-large-uncased-cola,0cdf304de01b879b266662df64d5b1491ee66a1f,yoshitomo-matsubara/bert-large-uncased-cola/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-large-uncased-cola,0ce00791b3b10935becbc823d0a70f5055ac84f4,yoshitomo-matsubara/bert-large-uncased-cola/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-wnli_from_bert-large-uncased-wnli,e77239d25f8338eafcda2b47ad57243d8bb44061,yoshitomo-matsubara/bert-base-uncased-wnli_from_bert-large-uncased-wnli/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-wnli,fed1047822a7f3d31e0d61525d557c762b017aa4,yoshitomo-matsubara/bert-base-uncased-wnli/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-stsb_from_bert-large-uncased-stsb,62ab3f0ad56f78e946f88815fbce290cd6e4473d,yoshitomo-matsubara/bert-base-uncased-stsb_from_bert-large-uncased-stsb/pytorch_model.bin,torch.save,,,
yoshitomo-matsubara/bert-base-uncased-stsb,3e30bbeb19ba336bd40af4253daa7d3ebd5772b5,yoshitomo-matsubara/bert-base-uncased-stsb/model.safetensors,safetensors,,,
