repo_url,commit_hash,error
ctheodoris/Geneformer,8ce598f054a680517c647207f52d09963f7abd89,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 8ce598f054a680517c647207f52d09963f7abd89
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
ctheodoris/Geneformer,d4fe544c9d704f3b5175fba2d7743bb706885849,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout d4fe544c9d704f3b5175fba2d7743bb706885849
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
ctheodoris/Geneformer,09276ddf612a39cfdbf24ad0fec8d527a0bb8ce3,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 09276ddf612a39cfdbf24ad0fec8d527a0bb8ce3
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
ctheodoris/Geneformer,1987df4a8ae2d06b55dfcf95f5b3df93deb277ce,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 1987df4a8ae2d06b55dfcf95f5b3df93deb277ce
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
ctheodoris/Geneformer,870b99b1eba6c4fb4b619cd873edfda975ac978e,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 870b99b1eba6c4fb4b619cd873edfda975ac978e
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary.pkl
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
ctheodoris/Geneformer,5426788c3d79d217cae248dfe72ed29954096fe0,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 5426788c3d79d217cae248dfe72ed29954096fe0
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary.pkl
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
ctheodoris/Geneformer,4cfe5a657a1e46666522e5ca34bd252daf073219,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 4cfe5a657a1e46666522e5ca34bd252daf073219
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary.pkl
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
ctheodoris/Geneformer,3c8dcdc5be540cbd07d105a40791782d42f98b58,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 3c8dcdc5be540cbd07d105a40791782d42f98b58
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary.pkl
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
google/bigbird-roberta-large,ad05435d6d3f4dec0d53e8084e7f7db12f6ab9d7,[Errno 2] No such file or directory: 'tmp/google+bigbird-roberta-large/pytorch_model.bin'
google/bigbird-base-trivia-itc,b98607f13b209632fab3bafc60f77008ba08eadd,[Errno 2] No such file or directory: 'tmp/google+bigbird-base-trivia-itc/pytorch_model.bin'
german-nlp-group/electra-base-german-uncased,88b1a29d0ef66aaa02b5e20536abdd1586133510,[Errno 2] No such file or directory: 'tmp/german-nlp-group+electra-base-german-uncased/tf_model.h5'
stanfordnlp/stanza-da,366b65b0cff8853d024ce370e93694f61074efc8,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-da/models/lemma/ddt.pt'
stanfordnlp/stanza-cy,ec0b829ad13ed8d61c9a8024dd3d1c68598fdbd2,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cy/models/depparse/ccg.pt'
stanfordnlp/stanza-cy,1f76c33100ebb68a175cc70ed880a2369a746522,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cy/models/pos/ccg.pt'
stanfordnlp/stanza-cy,bf6f81873c5f0f189949145246357562ec0605a8,[Errno 2] No such file or directory: 'tmp/stanfordnlp+stanza-cy/models/lemma/ccg.pt'
